Package name,Reviewer name,Review,Rating
com.bodybuilding.rise,Maurice Kane,Extremely unreliable. App frequently crashes and workouts not recorded,1
com.bodybuilding.rise,Kotte Eswaran,I have charged for yearly subscription but after 1 week usage the subscription has been cancelled but the amount has been and not yet refunded to my account. One of the worst app . I need my money back or provide proper conclusion.,1
com.bodybuilding.rise,FourBlix Test,Gd,3
com.bodybuilding.rise,Berry Void,"The work that's put into it is grueling, but in the end I know the results will be great! Coaches are awesome and really make the workout enjoyable. It's been hard for me to find a good workout routine and I'm glad this app works so well. (Though the videos usually show an error mid workout which is kind of annoying but other wise perfect!)",5
com.bodybuilding.rise,Victor Artyomenko,Some of the meals are off on calories some by like 150 cals and carbs Duty otherwise it's good.,4
com.bodybuilding.rise,Kirk Carpenter,"Enjoy the app. Great workout options, good tracking, good descriptions of exercises. The built-in in timer is my only real complaint. It doesn't always give the notification right away and doesn't override music. So, if you aren't staring at your phone, you might not notice your rest period is complete.",4
com.bodybuilding.rise,Jason Carrier,Love how it keeps you not guess what your next workout is,5
com.bodybuilding.rise,Rory,So many workout to choose from. I especially like that they have one day workouts in case you don't want to commit to one specific program yet. I did follow a month long workout schedule and didn't like that I had to go back to weeks 1-2 to view the same videos I had to follow for later weeks.,5
com.bodybuilding.rise,Carlos Silva,The new update fixed the annoying bug of force closing the app everytime my phone turned off the screen. I dont rate 5 stars just because u cant add exercises to the workouts...or i haven't found a way to do it. Other than that i love it.,4
com.bodybuilding.rise,Q,"I travel often so having the same set of equipment always available isn't an option. Bodyfit does not meet that goal. Even body weight workouts that state ""no equipment"" still end up needing a pull up bar and tension bands. If you can't offer an equipment free workout dont label it as such. Its deceptive and I'm stuck trying to figure out subsitutes because the app only gives vague alternatives in the discription with no demonstration of alternative motions.",2
com.bodybuilding.rise,David Hradsky,Great to get back to basics that build the foundation of your body.,5
com.bodybuilding.rise,Tracie Maganas,Great experience,5
com.bodybuilding.rise,Abraham Bhagat,Good and easy to follow app.... Love the Dorian Yates workout,5
com.bodybuilding.rise,Donald Bunce,Only way I step into a gym.,5
com.bodybuilding.rise,Rosario Moreno,"Great for all levels of fitness. Lots of detailed information. Nutrition, supplements, meal planning. Videos that show you how to perform each move. Some programs even have Playlists to workout to.",5
com.bodybuilding.rise,C J,Would be great if we can get a golden era routine,4
com.bodybuilding.rise,Hector Viramontes,Good workouts but stale not updated Rest timer is inaccurate. For example i set a timer of 1 minute in between sets it may go off after 5 minutes or sometime not at all.,3
com.bodybuilding.rise,Abner Benavides,💪💪💪💪💪💪💪,5
com.bodybuilding.rise,David Tomaszycki,"App overall is good. It doesn't allow for tracking your weight used during supersets which is annoying but can deal with it. HOWEVER, the newest update has a rest timer which beeps the last five seconds before the time is up. It overrides the music I am listening too and shuts the music off. Extremely annoying and enough to cause me to cancel the app. EDIT-problem solved 48 hours later. App is pretty perfect. Has everything you could need",5
com.bodybuilding.rise,Khashayar Roshani,The timer that is added to the new update pause my music. Its so fraustrating that my music stop after each set. Please fix it,2
com.bodybuilding.rise,Travis Bolton,"A great fitness app. There has been some weirdness with how they handle timer notifications (currently no audible notification so you have to watch the timers), but aside from that it works great.",4
com.bodybuilding.rise,Evan Werley,"2nd Review Update: Why keep releasing new versions with updates instead of fixing all the crashing issues in all these reviews?! I still cannot cast to my TV without crashing the app. This has been a prevalent issue since the 3.1.2 release, and I have attempted to contact the app for support. Would rate 5 stars if I could go back to version 3.1.1 that actually work properly...",1
com.bodybuilding.rise,Jason Harris,They fixed the issue with the app crashing when the timer is going. They did update it and now it beeps for the last 3 seconds. It's kind of annoying. It shuts my music off and there is no way that you can shut off the beep.,3
com.bodybuilding.rise,Omari Thomas,I thought I was fit this is proving otherwise,5
com.bodybuilding.rise,Clint Kenn,"Seems good, be cool to get a few sports specific training programs on the site.",4
com.bodybuilding.rise,Rob Tag,Itk ok. I don't like it when the timer sound pauses music,3
com.bodybuilding.rise,Marcus Olivas,Great app all around great workouts and helps you stay motivated and focus on your goals,5
com.bodybuilding.rise,William Smith,Just want in needed to get me out of the same old routine,5
com.bodybuilding.rise,alan segat,Timer cuts off my music !!! It's so frustrating. How hard it is for the timer alert to sound over the music instead of pause it !!!! Please fix this !!!,2
com.bodybuilding.rise,Alex Dreyfuss,Excellent app. Been using it for 2 years to track and keep myself interested. I have 3 main concerns at this point: I'm using an S21+ Recent update broke a lot of the interface because the default font on Android changed and now there is overflow text. As far as accessibility is concerned. I just wish there was a was to log on pull-ups when you needed assistance and how much. Seems like the one area where ability is not accounted for. I really wish there was a watch app to enter and track.,4
com.bodybuilding.rise,Jess Borgos,"Helps track your workouts, lots of variation for people of any workout regiment just have to put the work to find it",5
com.bodybuilding.rise,Salini Don Don,"This app is great. However, what I would really like is the ability to track the progression of weight lifted for each exercise. If we were to make that change, it would definitely be a 5 star product for me.",4
